一回路压力平均值,一环路冷热段平均值,堆芯出口温度平均值,主蒸汽压力平均值,辅助给水流量平均值,重要厂用水系统压力,DeltaTsat平均值,安全壳压力平均值,SG1水位平均值,稳压器泄压箱压力,压缩空气系统压力,汽机旁路系统蒸汽阀平均开度
15.3949,309.8145,333.437,6.670285000000001,0.0,0.0120312,11.14525,100.982,0.00147182,0.0157527,0.816255,0.0
15.3954,309.815,333.4375,6.670305,0.0,0.0120312,11.1473,100.982,0.001406545,0.0157498,0.816267,0.0
15.3959,309.8155,333.4375,6.670324999999999,0.0,0.0120312,11.14945,100.982,0.001336875,0.0157479,0.81628,0.0
15.3963,309.8155,333.438,6.6703375000000005,0.0,0.0120312,11.15145,100.982,0.001275055,0.0157506,0.816293,0.0
15.3968,309.8155,333.4385,6.670355000000001,0.0,0.0120312,11.1535,100.982,0.001218965,0.0157528,0.816304,0.0
15.3972,309.8155,333.4385,6.6703675,0.0,0.0120312,11.15555,100.982,0.00115585,0.0157521,0.816316,0.0
15.3977,309.81600000000003,333.43899999999996,6.6703850000000005,0.0,0.0120312,11.1576,100.982,0.001093065,0.0157489,0.816328,0.0
15.3981,309.8165,333.4395,6.6703975,0.0,0.0120312,11.1596,100.982,0.00103074,0.0157483,0.81634,0.0
15.3985,309.8165,333.4395,6.670414999999999,0.0,0.0120312,11.1617,100.982,0.0009695105,0.0157515,0.816353,0.0
15.399,309.817,333.44,6.670427500000001,0.0,0.0120312,11.1637,100.982,0.0009094749999999999,0.0157532,0.816365,0.0
15.3994,309.817,333.4405,6.670444999999999,0.0,0.0120312,11.1657,100.982,0.0008505305,0.0157513,0.816377,0.0
15.3999,309.817,333.4405,6.6704525,0.0,0.0120312,11.16775,100.982,0.0007935455000000001,0.0157483,0.816389,0.0
15.4003,309.8175,333.4405,6.6704575,0.0,0.0120312,11.1698,100.982,0.0007390935,0.0157494,0.816402,0.0
15.4007,309.818,333.44100000000003,6.6704550000000005,0.0,0.0120312,11.1718,100.982,0.000686937,0.0157525,0.816414,0.0
15.4012,309.818,333.4415,6.6704550000000005,0.0,0.0120312,11.17385,100.982,0.0006373855,0.0157531,0.816426,0.0
15.4016,309.818,333.4415,6.6704475,0.0,0.0120312,11.17585,100.982,0.0005900065000000001,0.0157502,0.816438,0.0
15.402,309.8185,333.4415,6.670444999999999,0.0,0.0120312,11.1779,100.982,0.000544684,0.0157482,0.81645,0.0
15.4024,309.8185,333.442,6.6704375,0.0,0.0120312,11.17995,100.982,0.000501181,0.0157507,0.816463,0.0
15.4029,309.8185,333.4425,6.6704349999999994,0.0,0.0120312,11.18195,100.982,0.0004592095,0.0157532,0.816475,0.0
15.4033,309.8185,333.4425,6.670427500000001,0.0,0.0120312,11.184,100.982,0.00041919500000000003,0.0157526,0.816487,0.0
15.4037,309.8185,333.4425,6.670425,0.0,0.0120312,11.18595,100.982,0.00038114050000000003,0.0157493,0.816499,0.0
15.4041,309.819,333.4425,6.670417499999999,0.0,0.0120312,11.188,100.982,0.000344703,0.0157487,0.816512,0.0
15.4046,309.819,333.4435,6.6704125,0.0,0.0120312,11.18995,100.982,0.000310093,0.0157518,0.816524,0.0
15.405,309.819,333.4435,6.6704,0.0,0.0120312,11.19195,100.982,0.00027764749999999996,0.0157536,0.816536,0.0
15.4054,309.819,333.4435,6.6703875,0.0,0.0120312,11.193999999999999,100.982,0.0002496785,0.0157517,0.816548,0.0
15.4058,309.819,333.4435,6.6703675,0.0,0.0120312,11.196,100.982,0.0002246005,0.0157487,0.816561,0.0
15.4062,309.8195,333.4435,6.6703475,0.0,0.0120312,11.19805,100.982,0.0001971255,0.0157498,0.816573,0.0
15.4066,309.8195,333.4435,6.6703175,0.0,0.0120312,11.200050000000001,100.983,0.00016943999999999998,0.0157528,0.816585,0.0
15.407,309.81899999999996,333.4445,6.6702900000000005,0.0,0.0120312,11.20195,100.983,0.00014201100000000002,0.0157536,0.816597,0.0
