汽机旁路系统蒸汽阀平均开度,稳压器喷淋阀平均开度,上充流量调节阀开度,电加热开启数量,一环路冷热段平均值,堆芯出口温度平均值,一回路压力平均值,ΔTsat平均值
66.63246666666667,0.0,100.0,0,252.3085,252.136,5.69547,20.9791
66.63246666666667,0.0,100.0,0,252.265,252.09449999999998,5.69078,20.9697
66.63246666666667,0.0,100.0,0,252.22449999999998,252.053,5.68688,20.9678
66.63246666666667,0.0,100.0,0,252.1835,252.012,5.68266,20.9634
66.63246666666667,0.0,100.0,0,252.144,251.97050000000002,5.67918,20.9654
66.63246666666667,0.0,100.0,0,252.1025,251.92950000000002,5.6751,20.9592
66.63246666666667,0.0,100.0,0,252.0595,251.88799999999998,5.67077,20.9535
66.63246666666667,0.0,100.0,0,252.0195,251.84699999999998,5.66716,20.9544
66.63246666666667,0.0,100.0,0,251.97750000000002,251.8055,5.66332,20.9544
66.63246666666667,0.0,100.0,0,251.9375,251.7645,5.66019,20.9598
66.63246666666667,0.0,100.0,0,251.8955,251.7235,5.65644,20.9575
66.63246666666667,0.0,100.0,0,251.852,251.6825,5.65271,20.9591
66.63246666666667,0.0,100.0,0,251.81650000000002,251.6455,5.64996,20.9639
66.63246666666667,0.0,100.0,0,251.775,251.60500000000002,5.64659,20.9688
66.63246666666667,0.0,100.0,0,251.7355,251.56400000000002,5.64384,20.9779
66.63246666666667,0.0,100.0,0,251.6935,251.523,5.64037,20.9784
66.63246666666667,0.0,100.0,0,251.6465,251.4785,5.63665,20.9841
66.63246666666667,0.0,100.0,0,251.607,251.4375,5.63374,20.99
66.63246666666667,0.0,100.0,0,251.566,251.397,5.63085,21.0007
66.63246666666667,0.0,100.0,0,251.526,251.35649999999998,5.62827,21.0107
66.63246666666667,0.0,100.0,0,251.48399999999998,251.316,5.6249,21.0129
66.63246666666667,0.0,100.0,0,251.442,251.2755,5.62199,21.0226
66.63246666666667,0.0,100.0,0,251.4025,251.235,5.61919,21.0298
66.63246666666667,0.0,100.0,0,251.3615,251.1945,5.61678,21.0454
66.63246666666667,0.0,100.0,0,251.322,251.15449999999998,5.61439,21.0569
66.63246666666667,0.0,100.0,0,251.279,251.11450000000002,5.61127,21.0618
66.63246666666667,0.0,100.0,0,251.238,251.0745,5.60878,21.0752
66.63246666666667,0.0,100.0,0,251.19799999999998,251.03449999999998,5.60615,21.0856
66.63246666666667,0.0,100.0,0,251.1585,250.995,5.60423,21.1045
66.63246666666667,0.0,100.0,0,251.1185,250.95499999999998,5.60203,21.1175
66.63246666666667,0.0,100.0,0,251.07549999999998,250.9145,5.5992,21.1265
66.63246666666667,0.0,100.0,0,251.0355,250.875,5.59712,21.1438
66.63246666666667,0.0,100.0,0,250.9955,250.8345,5.59486,21.1597
66.63246666666667,0.0,100.0,0,250.95600000000002,250.7945,5.59343,21.1835
66.63246666666667,0.0,100.0,0,250.916,250.75400000000002,5.5915,21.1999
66.63246666666667,0.0,100.0,0,250.873,250.7135,5.58912,21.215
66.63246666666667,0.0,100.0,0,250.83350000000002,250.6735,5.58753,21.2376
66.63246666666667,0.0,100.0,0,250.794,250.63299999999998,5.58585,21.2605
66.63246666666667,0.0,100.0,0,250.755,250.59300000000002,5.58488,21.2888
66.63246666666667,0.0,100.0,0,250.7135,250.553,5.5832,21.308
66.29696666666666,0.0,100.0,0,250.671,250.5135,5.58136,21.3287
65.86996666666666,0.0,100.0,0,250.63150000000002,250.4735,5.58017,21.3545
65.47346666666667,0.0,100.0,0,250.5915,250.434,5.57908,21.3841
64.79203333333334,0.0,100.0,0,250.553,250.39499999999998,5.57841,21.4144
64.13096666666667,0.0,100.0,0,250.5115,250.3555,5.57683,21.4346
63.6428,0.0,100.0,0,250.46949999999998,250.316,5.57539,21.4594
63.205466666666666,0.0,100.0,0,250.43,250.277,5.57447,21.4884
62.798633333333335,0.0,100.0,0,250.3915,250.238,5.57401,21.5235
62.391799999999996,0.0,100.0,0,250.353,250.1995,5.57358,21.5554
61.95446666666667,0.0,100.0,0,250.3115,250.161,5.5722,21.5774
61.4968,0.0,100.0,0,250.27100000000002,250.1225,5.57123,21.6065
61.0086,0.0,100.0,0,250.23250000000002,250.0845,5.57063,21.6387
60.50006666666667,0.0,100.0,0,250.195,250.04649999999998,5.57061,21.6771
59.95083333333333,0.0,100.0,0,250.15699999999998,250.00900000000001,5.57028,21.7087
59.36093333333333,0.0,100.0,0,250.115,249.971,5.56904,21.7327
58.770999999999994,0.0,100.0,0,250.07600000000002,249.93349999999998,5.56844,21.7645
58.1506,0.0,100.0,0,250.0385,249.89600000000002,5.56818,21.8003
57.4895,0.0,100.0,0,250.002,249.85899999999998,5.56846,21.8406
56.808033333333334,0.0,100.0,0,249.9635,249.82150000000001,5.56809,21.8706
56.0859,0.0,100.0,0,249.9225,249.78449999999998,5.56702,21.8974
55.3536,0.0,100.0,0,249.8845,249.747,5.5667,21.9316
54.60093333333333,0.0,100.0,0,249.848,249.7105,5.56676,21.971
53.8076,0.0,100.0,0,249.812,249.6735,5.56727,22.0122
52.99393333333333,0.0,100.0,0,249.7735,249.637,5.56678,22.0415
