,一回路压力平均值,一环路冷热段平均值,堆芯出口温度平均值,主蒸汽压力平均值,辅助给水流量平均值,重要厂用水系统压力,DeltaTsat平均值,安全壳压力平均值,SG1水位平均值,稳压器泄压箱压力,压缩空气系统压力,汽机旁路系统蒸汽阀平均开度
101,1.857909991,1.519524828,1.738016784,1.07362927,-1.513543699,-2.006346969,-1.512629862,-2.167197361,-0.885488368,-1.159605507,-1.36132968,-0.878413187
102,1.858047195,1.519542514,1.738030852,1.073633548,-1.513543699,-2.006346969,-1.512394761,-2.167197361,-0.885588896,-1.159150562,-1.360561554,-0.878413187
103,1.858156958,1.519542514,1.738044921,1.07363925,-1.513543699,-2.006346969,-1.512159661,-2.167197361,-0.885680331,-1.159059572,-1.359793428,-0.878413187
104,1.858294163,1.5195602,1.738044921,1.073650656,-1.513543699,-2.006346969,-1.51192456,-2.167197361,-0.885765477,-1.159514518,-1.358961291,-0.878413187
105,1.858403926,1.519577886,1.738058989,1.073663487,-1.513543699,-2.006346969,-1.511689459,-2.167197361,-0.885849271,-1.15980265,-1.358193165,-0.878413187
106,1.85854113,1.519577886,1.738073058,1.073674893,-1.513543699,-2.006346969,-1.511459956,-2.167197361,-0.885932256,-1.159423529,-1.357425039,-0.878413187
107,1.858650894,1.519595571,1.738073058,1.073686298,-1.513543699,-2.006346969,-1.511230453,-2.167197361,-0.886014597,-1.159029243,-1.356656913,-0.878413187
108,1.858788098,1.519613257,1.738087126,1.073696278,-1.513543699,-2.006346969,-1.510995353,-2.167197361,-0.886095168,-1.159150562,-1.355824777,-0.878413187
109,1.858925302,1.519613257,1.738101195,1.073707684,-1.513543699,-2.006346969,-1.510760252,-2.167197361,-0.886172261,-1.159651002,-1.355056651,-0.878413187
110,1.859035066,1.519613257,1.738101195,1.073719089,-1.513543699,-2.006346969,-1.510530749,-2.167197361,-0.886247519,-1.159711661,-1.354288524,-0.878413187
111,1.85917227,1.519648629,1.738115263,1.073730495,-1.513543699,-2.006346969,-1.510301246,-2.167197361,-0.886321385,-1.159241551,-1.353520398,-0.878413187
